0647,Aluminium lacquered twist action ballpen.,25 x 20,,1 x 13,Aluminium / Rubber
0927,Transparent PVC drawstring bag.,200 x 200,,35 x 46,Polyester 210D / PVC 0.2mm
0929,Bicycle cooler bag.,130 x 40,,22 x 15,Polyester 600D / PEVA
0933,Sports/travel bag in a 600D polyester. ,160 x 70,250 x 120,63 x 32,Polyester 600D / PVC backing
0934,Tote bag in a 600D polycanvas. ,180 x 120,,38 x 37,Polycanvas 600D
0935,Cooler bag in a 600D polyester material. ,100 x 80,,33 x 33,Polyester 600D / Polyester 420D / PEVA / Foam
0936,Document bag in a polyester 600D material.,200 x 100,,38 x 29,Polyester 600D
0939,Sports bag in a 600D polyester material. ,240 x 140,100 x 70,50 x 32,Polyester 600D
0942,Umbrella with automatic opening. ,130 x 80,,121 x 92,Fibreglass / Metal / Rubber finish
0945,Umbrella with automatic opening.,130 x 80,,107 x 82,Fibreglass / Plastic / EVA / Polyester 190T
0946,Backpack in 600D polycanvas.,130 x 80,,31 x 46,Polycanvas 600D
0947,Umbrella with automatic opening.,130 x 80,,105 x 85,Aluminium / Fibreglass / Metal / EVA / Pongee 190T
0948,Soft feel notebook. ,50 x 60,,9 x 14,Cardboard / Paper / PU
0954,Plastic push button ballpen. ,40 x 24,,1 x 14,ABS
0955,Drawstring backpack.,150 x 70,,34 x 43,PVC / Polyester 210D
0956,Plastic bubble blower and hand clapper.,20 x 6,,24 x 6,PVC / PE / PP
0957,Steel torch with 9 LED lights.,30 x 6,,3 x 10,Aluminium / Paper / EVA
0958,Charles Dickens mechanical pencil.,35 x 8,25 x 50,18 x 7,ABS / Aluminium / Metal / Paper / Velvet
0959,Large aluminium torch with one LED light. ,50 x 30,80 x 10,5 x 24,Aluminium
0960,Plastic and silicone safety wrist band.,17 x 17,,7 x 2,ABS / Silicone
0965,A5 Cork portfolio. ,100 x 100 ,,20 x 16,Cork / PU
0966,"A5, PU padded portfolio. ",35 x 100 ,,24 x 18,Polyester 210D / PVC 0.7mm
0967,"A4, PU padded portfolio. ",40 x 180 ,,33 x 26,Polyester 210D / PVC 0.7mm
0968,Plastic twist action ballpen. ,30 x 24,,1 x 14,ABS / Metal
0969,Plastic adjustable mobile phone holder.,35 x 7,,16 x 10,ABS / EVA
0970,Non-woven college bag. ,180 x 90,,36 x 29,Non-woven 130gr/m2
0971,Non woven 80gr coloured bag. ,220 x 100,,38 x 29,Non woven 80gr
0972,Non woven 80gr coloured bag. ,220 x 250,,38 x 42,Non woven 80gr
0973,Charles Dickens boxed set. ,70 x 35 ,,18 x 18,Aluminium / Cardboard
0976,Charles Dickens boxed set. ,70 x 60  ,,23 x 25,Aluminium / Cardboard / PU
1006,Fabric kitchen set.,"glove 90 x 70, holder 110 x 90, hat 150 x 30 apron 180 x 130 (temporarily inavailable)",,30 x 21,Poly cotton
1018,Plastic flashing ballpen,40 x 20,50 x 7,2 x 19,AS / AS / Metal
1020,Plastic case with five plasters,60 x 20,,4 x 10,PP / Latex / PP
1038,Charles Dickens metal ballpen ,45 x 6 ,,7 x 17,Metal / Mahogany / Plastic / Leather / Iron
1039,Stainless steel wine cooler,200 x 80,,12 x 19,Stainless Steel 14/1
1041,Steel champagne bucket,60 x 60 ,,22 x 21,Stainless Steel 14/1
1047,First aid kit in a drawstring bag. 11pc,50 x 35,,12 x 12,ABS / Polyester 210D
1052,Plastic triangular text marker.,35 dia,,8 x 9,ABS / ABS
1053,Plastic adjustable mobile phone holder.,19 dia,,11 x 7,ABS / TPR / Epoxy
1056,Meat thermometer. ,50 x 7,,6 x 7,ABS / Aluminium
1060,Syringe text marker,50 x 10 ,,2 x 14,ABS / AS
1063,Syringe ballpen,40 x 14,40 x 7,2 x 13,AS / Wax
1065,Mini highlighter with clip,20 x 20,,3 x 3,AS / PP
1071,"Text marker, five colours",40 dia,,10 x 2,ABS / PP / ABS
1080,Charles Dickens® ballpen.,35 x 5,,23 x 16,Copper
1081,Charles Dickens metal ballpen,35 x 7 ,40 x 40,18 x 7,ABS / Velvet / Metal
1085,Charles Dickens metal ballpen ,30 x 10 ,40 x 40,18 x 7,ABS / Paper / Velvet / Metal / Nickel plated
1096,Charles Dickens metal ballpen ,30 x 6 ,,7 x 17,Wood / Plastic / Iron / Velvet / Metal
1105,"Small felt tip pens, 12pcs.",40 x 20,,10 x 4,PP / Cardboard / Plastic / Nylon 420D
1108,Set of 12 coloured pencils.,45 x 25,,19 x 10,Tin / Lime tree
1110,Hand cleaning spray. ,50 x 13,50 x 18,14 x 2,PP / Ethyl alcohol 62% / PP / PP
1116,ABS nurse watch with silver and white coloured digits. ,30 x 10,,8 x 4,ABS / Aluminium / Stainless Steel 201
1124,"Bone China mug, 370ml capacity, (sold per 48 pcs)",65 x 35,,8 x 11,Porcelain
1134,EVA foam sailing boat key holder.,25 x 30,,5 x 8,Nylon / EVA / Steel
1137,Charles Dickens ballpen. ,30 x 20,30 x 8,16 x 7,ABS / Copper / PU
1140,Plastic phone style calculator. ,45 x 18,,6 x 12,ABS / PS
1152,Key holder with fibre cloth,30 x 20,,7 x 5,Plastic / Vinyl / Microfibre
1153,Flashing heart ballpen ,40 x 20,40 x 7.5,1 x 20,Metal / PVC / AS
1165,Plastic adjustable mobile phone holder for a bike. ,55 x 10,,13 x 7,ABS / Rubber
1167,"Baltic floating key holder, oval ",50 x 20,,8 x 3,Nylon / EVA / Iron
1171,Anti stress heart and key holder,20 x 15,,5 x 5,PU Foam / Metal
1190,Oval shaped paperweight. ,40 x 15 ,,9 x 7,ABS / Iron
1207,"Animal pencil, 50 assd per pack",50 x 6,,1 x 21,Nylon / Graphite / Lime tree
1211,Plastic ballpen with LED torch,30 x 10,,2 x 13,ABS / Nylon
1220,Plastic virtual reality glasses,60 x 15,,22 x 13,ABS / Metal / Latex / Polyurethane
1305,Key shaped bottle opener with LED light. ,20 x 5,,7 x 3,Metal / Silicone / LED
1306,Plush polar bear in a reflective hoodie with a key ring.,n/a,,12 x 9,Aluminium / Glass / Polyester / PP
1342,First aid kit in a nylon pouch,60 x 20,,13 x 9,Polyester 600D
1361,Candle in a tin,40 dia ,50 dia,6 x 5,Paper / Tin / TPU / Wax
1367,First aid kit in a nylon pouch ,25 x 25,90 x 15,11 x 12,Nylon 210D
1374,Waterproof first aid kit ,45 x 45,,10 x 12,Plastic / Nylon
1387,First aid kit in a plastic case,35 x 35,,6 x 9,PP
1424,3M reflective strips for bicycle spokes.,n/a,,1 x 7,ABS / 3M reflective / Paper 600 gsm
1439,Nylon (190T) fluorescent runners jacket. ,60 x 60,100 x 90,70 x 55,Nylon 190T
1447,Cotton twill and plastic five panel cap. ,70 x 35,,18 x 13,Cotton / Plastic / PE / Mesh
1450,Five panel acrylic cap. ,80 x 40,,18 x 15,Acrylic / PE / Velcro
1484,Heart plastic mint card. ,50 x 30,,8 x 7,PP
1503,Foldable hair brush with mirror,70 x 20 ,,11 x 4,PVC / Nylon / ABS
1587,Heavy brushed cotton cap with six panels. ,80 x 50,,18 x 15,PE / Velcro / Cotton  10x10
1616,Mint tin with approximately forty sugar free mints.,35 dia,,5 x 2,Metal
1651,Plastic double pocket mirror.,50 dia,,7 x 1,PS / Glass
1658,Plastic single mirror,45 dia,,6 x 1,PS / Glass
1741,Fleece hat.,100 x 25,,27 x 16,Fleece 200gr/m2  Non Anti-Pilling
1743,Fleece scarf.,100 x 60,,150 x 25,Fleece 200gr/m2  Non Anti-Pilling
1745,Fleece cap and scarf.,100 x 40,100 x 100,150 x 25,Fleece
1761,Fleece blanket,90 x 40 ,,160 x 125,Polar Fleece / Polar fleece 165g/m2 / Nylon
1783,Plastic piggy bank,35 x 25,30 x 15,10 x 8,PVC
1825,Metal bottle opener with LED light and tape measure. ,35 x 15 ,,13x 3,ABS / Iron / Steel / LED
1834,Earphones in a plastic case.,45 x 25,50 dia,7 x 2,ABS / Metal / PVC / PS / Silicone
1836,"Flexible plastic ruler, 30cm/12"".",70 x 15 ,,32 x 1,PVC
1837,Silicone ear plugs.,25 x 15,,5 x 3,PP / Silicone
1838,Neoprene zipped water resistant bag. ,60 x 15,,5 x 74,Plastic / Neoprene / Rubber
1840,Plastic computer lamp,28 x 28,,11 x 6,ABS / Steel
1842,Plastic piggy bank. ,30 x 20,,7 x 9,PVC
1855,Plastic three digit combination lock.,30 x 10,,2 x 6,ABS / Iron
1861,Plastic key holder and shopping trolley coin. ,18 dia,,6 x 3,PP
1877,PVC bag which can be sealed. ,120 x 110,,15 x 32,Plastic / Nylon / PVC 0.36mm
1886,Reed diffuser. ,n/a,,3 x 18,Glass / Reed
1906,Piggy bank made of plaster,n/a,,11 x 8,Aluminium / Wood / Horsehair / Aquarelle paint / Dolomite
1921,Fleece travel blanket ,100 x 50,,31 x 17,Velcro / Polar fleece 165g/m2
1923,Fleece blanket,60 x 50 ,,35 x 25,Nylon / Fleece 150g/m2
1987,Key holder with coin (€0.50 size),35 x 18,,7 x 3,PS / Metal
1991,Bottle opener with LED light,25 x 20  ,33 x 28,7 x 4,Plastic / Metal
1992,Key holder with a light,40 x 12,20 x 10,6 x 2,ABS / Metal
2019,Ballpen with card barrel,40 x 20,,1 x 14,Cardboard / ABS / ABS / ABS
2055,Metal ballpen ,30 x 6,,18 x 7,Cardboard / EVA / Copper / Metal
2057,Metal ballpen and rollerpen,30 x 6 ,,18 x 7,Cardboard / EVA / Copper / Metal
2063,Digital weather station,40 x 10,,9 x 13,HIPS / HIPS / LCD / HIPS
2091,Solar charger. ,35 x 60,,5 x 10,ABS / Metal / PVC
2126,Non-woven 80 gr/m2 foldable car organizer. ,95 x 100,,28 x 34,Cardboard / Non woven 80gr
2127,ECO Non-woven pencil case with contents.,70 x 20,,10 x 24,Pinewood / Non woven 80gr / paper 70 gsm / Cardboard 250 gsm
2128,Cooler bag with a plastic lunch box. ,70 x 20,90 x 35,17 x 25,Plastic
2130,"House tape measure, 2m",32 x 22 ,,5 x 5,ABS / Steel 60C
2131,"Tape measure, 1.5m",30 x 20,,7 x 5,ABS / Metal
2132,Kitchen set. ,70 x 70,50 x 8,29 x 13,Silicone
2138,Garden set.,n/a,,37 x 17,EVA
2139,Pom-Pom with coloured bands of foil. ,50 x 20,,40 x 15,Plastic
2140,Laptop bag made from 600D polycanvas.,200 x 60,,33 x 23,Polycanvas 600D
2146,Plastic breakfast mug. 350ml,27 x 8,30 x 10,9 x 16,PS / PP / Silicone
2147,Tape measure - 2m,30 x 25,,8 x 6,ABS / Metal / Paper
2151,Aluminium torch in shape of a baseball bat.,100 x 10,,4 x 36,Aluminium
2153,6.3 litre glass drink dispenser. ,n/a,,22 x 45,ABS / Glass / Iron
2183,Charles Dickens® ballpen. ,45 x 8,25 x 50 ,18 x 6,ABS / Aluminium / Paper / Copper / Nickel
2189,Patterned or silver tin.,50 x 50,,10 x 9,Tin
2199,Mini tool set,70 x 12 ,,3 x 2,ABS / Steel
2211,"Light ballpen, blue ink",27 x 10,,2 x 15,Plastic / Copper
2224,Eight delicious Dutch waffles. ,n/a,,8 x 7,Treacle waffle
2225,Drawing set,45 x 15 ,,18 x 8,Acrylic / Cardboard / Metal / Paper / Wax
2226,Art set,35 x 30,,13 x 15,Cardboard / Plastic / Aquarelle paint / Lime tree
2237,Plastic foldable desk light. ,50 x 35,,19 x 11,PC
2278,PU notebook with matching colour ribbon marker.,60 x 35,,21 x 16,PU / paper 70 gsm
2280,Silicone wristband in vibrant colours ,15 x 8,,6 x 1,Metal / Silicone
2284,350ml Protein shaker.,30 x 60,,10 x 23,PE / PP
2287,340ml Transparent coloured plastic mug. ,30 x 60,,10 x 20,PS / PP / PS / Silicone
2289,Pair of earphones.,35 x 20,,7 x 7,ABS / PVC / PS / Silicone
2314,"Bag with long handles, Colours",250 x 250 ,,42 x 38,Cotton 110/gr m2
2315,"Bag with short handles, Natural",250 x 250 ,,40 x 37,Cotton 110/gr m2
2318,Dutch stroop caramel waffles. ,50 x 50,,10 x 9,Tin
2324,24 mind games,25 x 25 ,,26 x 17,Cardboard / Metal / PS
2326,Wallet with two decks of cards,100 x 50,,11 x 17,Paper / Wood / Nylon / Paper
2331,Skipping rope with a counting LCD display.,35 x 15,,3 x 18,ABS
2342,"Bag with long handles, Natural",250 x 250,,42 x 38,Cotton 110/gr m2
2346,"Football game, self assembly ",150 x 30,,50 x 31,Plastic / MDF / Plastic / Iron
2350,"Key holder, €1 trolley disc ",20 x 20,,10 x 5,Metal / Zinc alloy / Iron
2372,Shirt  inserts for item 5157,n/a,,4 x 5,Paper
2373,Square inserts for item 2401,n/a,,3 x 4,Paper
2376,Round inserts for item 5159,n/a,,Dia 4,Paper
2398,Key holder with LED light,20 x 15,,3 x 1,ABS / Metal
2401,"Key ring, unassembled only",n/a,,4 x 9,Plastic Crystal 1840 / Metal
2411,Small push button torch ,15 x 10 ,,2 x 5,ABS / Acrylic / Steel
2413,Plastic set square.,50 x 20,,16 x 8,PS
2414,Plastic alcohol tester on a key chain.,25 x 15,,4 x 7,ABS / Metal / LED / ABS / Iron
2419,Key chain with light,20 x 12,20 x 7,3 x 10,ABS / Metal
2425,Plastic pen set.,40 x 30,,6 x 14,ABS / Metal
2430,Ballpen with black ink and rubber tip. ,40 x 8 ,,1 x 13,ABS / Metal / Rubber
2432,Six colour pencil set ,35 x 50,,5 x 9,Cardboard / Lime tree
2437,Black Swan plastic ballpen with black ink. ,35 x 20,35 x 7,1 x 15,ABS
2438,"Art set, 56p",n/a,,20 x 17,Cardboard / Plastic / Wax / Beechwood / Paper
2442,White Swan ballpen with black ink.,35 x 20 ,35 x 7,1 x 15,ABS
2460,Witch pencil,40 x 8,,2 x 22,Wood / Cotton
2468,Twelve colour pencil set,50 x 30,,9 x 9,Cardboard / Lime tree
2474,Coloured pencil set ,50 x 50,,10 x 18,Cardboard / Lime tree
2478,Flower ballpen,40 x 8,,1 x 16,Wood
2495,12 Colour pencils with sharpener,40 x 17,40 x 70,4 x 11,ABS / Metal / Lime tree / Cardboard
2497,6 Colour pencils with sharpener,40 x 14,40 x 50,2 x 10,ABS / Metal / Lime tree / Cardboard
2498,Animal ballpen,40 x 8,,2 x 15,Wood / Iron
2520,Plastic sandwich shaped lunch box,55 x 55,,13 x 12,PP
2532,Christmas stuffed animal with blanket ,n/a,,15 x 17,"Polyester 100%, Fleece 180g/m2"
2540,Plastic key holder compass.,20 x 20,40 x 20,9 x 3,Plastic / Metal
2541,"Pencil, unsharpened",45 x 15,50 x 6,1 x 19,Metal / Rubber / Lime tree
2544,Key holder with compass,25 dia,,4 x 1,ABS / Metal / Iron
2545,School set ,90 x 15,,21 x 4,Plastic / Metal / Pinewood
2546,Domino game.,70 x 20 ,,15 x 5,Firewood
2548,Mikado game in wooden box,70 x 20,,19 x 4,Pinewood / Polywood
2553,Games set,70 x 25,,11 x 10,MDF / Hardwood / Paper
2555,Wooden yo-yo,40 dia,,5 x 3,Pinewood
2573,Foldable car organizer. ,120 x 80,,32 x 26,Metal / Rubber / Polyester 600D
2578,Wooden bat and ball set,150 dia,,38 x 24,Plastic / PE / MDF / Nylon
2582,Beach ball game set,120 x 120,,38 x 24,Plastic / Polywood / Nylon
2591,Plastic ballpen with blue ink. ,40 x 20,,1 x 14,ABS
2595,Plastic round salad box. ,100 x 70,,20 x 6,PP
2599,Badminton set ,100 x 50,,21 x 3,Nylon / Metal / Plastic / Steel
2602,PVC coin purse. ,30 x 30,,10 x 10,PVC
2613,Drinking mug ,130 x 30,40 x 35,8 x 18,PP / Plastic / Paper / PS / PP
2617,Barbecue set,40 x 20,,26 x 50,Aluminium / Cardboard / Plastic / Aluminium paper / Stainless Steel 18/0
2631,"Barbecue set, 6pc ",80 x 70,,49 x 43,Stainless Steel 18/0 / Hardwood / Nylon 600D / Nylon 1000D / SS 2CR13
2634,Temperature gauge ,20 x 20,,4 x 36,ABS / LCD / Stainless Steel 304
2636,Thermometer,50 x 13,15 x 13,12 x 2,ABS / LCD
2637,Barbecue set ,40 x 18 ,,38 x 10,Aluminium / Cardboard / Plastic / Aluminium paper / Stainless Steel 18/0
2642,Plastic 5pc cookie cutter set. ,70 dia,,11 x 5,PP
2645,Picnic rucksack for four people,100 x 100,,21 x 25,PU / PEVA / Polyester 600D
2669,Pocket mirror with brush,30 dia,,7 x 3,ABS / Glass
2691,Lipstick ballpen with blue ink,20 x 12,18 x 10,2 x 10,ABS
2693,Car ballpen.,20 x 8,10 x 10,12 x 3,Plastic / Rubber
2715,Recycled notebook. ,60 x 60 ,80 x 170,14 x 18,Cotton / Paper / paper 70 gsm / Metal
2724,Whistle with wrist cord,15 dia ,,6 x 11,ABS
2731,Aluminium photo frame,100 x 20 ,,21 x 16,Aluminium
2736,Notebook with pen,40 x 40,,8 x 11,ABS / Paper
2749,PVC Pinch wallet.,45 x 25,,10 x 10,Metal / PVC
2758,Key wallet,50 x 25,,11 x 8,PVC / Nylon 600D
2762,Leather key wallet with metal ring and zipper.,70 x 30,,11 x 7,Leather
2785,Pencil set,25 x 25,,5 x 10,Wax / Wood / ABS / Metal / Cardboard
2786,Pencil holder with 6 pencils,40 x 15,45 x 60,3 x 13,poplar
2788,"Crayon set in card box, 6pc",35 x 50,,9 x 5,Cardboard / Paper / Wax
2790,"Crayon set in card box, 12pc",50 x 40 ,,9 x 10,Cardboard / Paper / Wax
2792,"Crayon set, 30pc ",25 x 25,40 x 100,6 x 11,Cardboard / Wax
2794,"Artists set, 68pc",n/a,,32 x 21,Wood / Paper / Wax / Plastic / Paper
2797,Chalk in six different colours.,50 x 40 ,,15 x 14,Calcium Sulphate / Cardboard
2799,Pencil with eraser,50 x 4,,1 x 35,Rubber / PVC
2807,Hip flask,45 x 45 ,,18 x 16,Stainless Steel 304
2810,Aeroplane key holder.,20 x 15 ,,4 x 7,Zinc / Iron
2822,Bottle opener,22 x 5,,8 x 1,Metal / HIPS / Polystyrene
2834,"Mug, 250ml. WHITE & COLS",60 x 60,190 x 60,9 x 10,Porcelain
2848,Ceramic mug. 170ml.,80 x 55,170 x 55,7 x 8,Earthenware
2855,Coffee mug with spoon,40 x 30 ,,8 x 11,Earthenware / Ceramic / Earthenware / Ceramic
2880,"Ceramic mug with chalk, (sold per 36 pcs)",45 x 35 ,,8 x 10,Ceramic
2889,Notebook with a soft PU cover,50 x 60,,9 x 14,Cardboard / Paper / PU
2889,lowest price,50 x 60,,n/a,
2917,20cm Ruler with calculator,40 x 22,,21 x 5,ABS / Rubber
2959,30cm Plastic ruler with two pencils.,45 x 15 ,50 x 20,32 x 4,Wood / Graphite / PS
2980,Drawing mug,n/a,,10 x 9,PP / Paper / PS
3006,Metal ballpen and rollerpen. ,30 x 7 ,,17 x 7,PU / Metal / PU
3011,Cardiff ballpen with silver barrel.,45 x 8,,2 x 14,ABS / Steel / AS / ABS / ABS
3015,Newport ballpen with blue ink.,45 x 8,,2 x 14,ABS / Steel / AS / ABS / ABS
3018,Cardiff ballpen with white barrel.,55 x 7,,1 x 14,ABS / Metal
3020,Voltaire ballpen with blue ink.,35 x 7 ,45 x 5,1 x 14,Aluminium / Metal
3035,Rimini ballpen with blue ink.,33 x 20,,1 x 13,ABS / AS / Alloy / Metal
3050,A4 PU Folder with magnetic closing. ,70 x 35 ,,26 x 32,Metal / PU / Velvet
3053,Polyester 240D backpack. ,120 x 30,,29 x 40,Polyester 240D
3070,550ml Plastic cocktail shaker with integral strainer.,30 x 50,,8 x 22,HIPS
3073,Flexi man alarm clock.,18 x 12,20 x 12,8 x 10,ABS / PVC / LCD
3076,Notebook with a soft PU cover,80 x 80,70 x 60 deboss/foil front or deboss/foil back,14 x 21,Cardboard / Paper / PU
3099,Wire bound notebook.,40 x 40 ,,12 x 15,Cardboard / Metal / Paper
3106,"Metz ballpen, blue ink.",35 x 20,35 x 4 ,1 x 13,Copper
3115,Bookmark made from card ,40 dia,,22 x 6,Paper
3117,Pen shaped pocket screwdriver.,35 x 10  ,,2 x 13,Metal / Stainless steel
3120,Felt Christmas hat ,200 x 40,,40 x 30,Felt
3127,Friday afternoon hammer.,45 x 10,15 x 15,26x 4,PVC / Carbon Steel
3129,Aluminium luggage tag ,45 x 20 ,,9 x 4,Aluminium
3132,Luggage tag,40 x 20,,9 x 5,Paper / Polystyrene
3133,Plastic ID pass holder ,20 x 20,,5 x 9,ABS / PA / Nylon / Denim
3141,"Tape measure, 2m",30 x 30,,7 x 6,Metal / Rubber
3143,"Tape measure, 3m",30 x 30,,7 x 6,Metal / ABS / Rubber
3144,Escape ballpen and pencil set,40 x 12,40 x 2,18 x 6,Aluminium / Iron / Iron
3145,"Tape measure, 5m",35 x 35,,8 x 7,Metal / Plastic / Rubber
3148,Luzern ballpen with blue ink.,14 x 20,50 x 10,1 x 14,Aluminium / Iron / Iron
3167,Luggage tag,40 x 40,,6 x 10,ABS / PVC
3177,White porcelain cup and saucer.,50 x 20,,12 x 6,Porcelain
3179,Super white porcelain cup and saucer.,50 x 20,,15 x 7,Porcelain
3180,Pass holder with 60cm cord,15 dia ,,4 x 12,ABS / Aluminium / Nylon / Iron
3182,Ski pass holder with 80cm cord,15 dia ,,3 x 2,ABS / Metal / PVC / Nylon
3190,Plastic car power adapter. ,20 x 10,,2 x 6,ABS / Metal
3195,Plastic UV watch,n/a,,4 x 24,PVC
3199,"Weather station, 2 pin & batt ",50 x 12,35 x 20,3 x 11,ABS / Acrylic / PS
3202,Plastic 500ml protein shaker. ,30 x 30,20 x 60,9 x 22,PE / PP
3203,Plastic 356ml drinking mug. ,30 x 20,,9 x 11,PP / Silicone
3208,Stackable porcelain mug.,50 x 60,,8 x 9,Porcelain
3247,Polyester 240D messenger bag. ,n/a,,35 x 28,Polyester 240D
3262,Plastic 30cm wall clock. ,30 x 15,,32 x 4,Aluminium / Plastic
3280,Plastic car power adapter. ,20 x 10,,3 x 6,Plastic
3283,Silicon arm strap with two LED lights. ,30 x 10,10 x 6,4 x 19,ABS / Silicone / TPR
3298,"Pen set, ballpen and pencil",40 x 20,30 x 6,16 x 5,Aluminium / Tin
3306,Hearn four colour ink ballpen ,25 x 12,,2 x 14,ABS / TPR
3321,Carman ballpen with blue ink.,30 x 18,,1 x 15,AS / AS / Rubber / AS / AS
3322,Plastic portable electronic fan. ,40 x 13,,10 x 3 cm,ABS / PVC
3337,Classic ballpen and rollerpen,30 x 15 ,,8 x 17,Iron / Carbon Fibre / Brass
3338,Classic ballpen ,30 x 12 ,,17 x 8,Iron / Carbon Fibre / Brass
3347,Salzburg steel ballpen with black ink.,35 x 20,35 x 8,1 x 13,Stainless steel 202 / Iron / Plastic
3359,Sienna pen set,30 x 8,25 x 20,5 x 16,Aluminium / Copper / PU
3363,A4 PVC folder.,30 x 10 ,,25 x 32,Metal / Microfibre / Paper / PVC
3376,Swarovski twist action ballpen ,35 x 8 ,,18 x 7,Cardboard / Copper / Metal / Swarovski elements / Nikkel plated
3390,Mirate ballpen with blue ink.,30 x 8,,2 x 14,ABS
3398,Storm ballpen with black ink.,35 x 10,,1 x 14,AS / AS / Rubber / AS / AS
3403,A4 Zipped PVC folder.,35 x 10 ,,27 x 35,Metal / Microfibre / Paper / PVC
3440,Set of three gel markers.,50 x 18,,8 x 7,ABS / PS / ABS
3444,Ballpen with blue ink.,20 x 20,45 x 8 ,1 x 14,ABS / Aluminium / Steel
3445,Set of three gel markers. ,40 x 40,,5 x 10,ABS / PS / PP
3447,Plastic bicycle light. ,15 x 8,,11 x 5,Plastic / Silicone
3448,Ballpen with black ink.,30 x 20,40 x 6,18 x 4,Aluminium / Metal / Tin / EVA
3461,Reed diffuser with one 100ml glass bottle of vanilla fragrance. ,60 x 40,,26 x 6,Glass / Reed
3463,"Stackable porcelain cup and saucer, (sold per 36 pcs)",30 x 50,,13 x 7,Porcelain
3467,Plastic retractable ballpen with blue ink.,40 x 6,,1 x 14,ABS / Steel
3474,"Stackable porcelain cup and saucer, (sold per 36 pcs)",30 x 40,,13 x 6,Porcelain
3481,500ml Travel mug. ,55 x 30 ,,9 x 19,PP / Stainless Steel 201
3486,USB drive (16GB) with twist mechanism to protect the plug,25 x 12,,5 x 2,"ABS, Iron"
3487,House-shaped card memo holder. ,50 x 30,,7 x 11,Cardboard / PET / paper 70 gsm
3514,Four piece plastic manicure set. ,50 x 15,,13 x 2,ABS / Metal / Steel / PS / Steel
3519,Polyester backpack. ,120 x 70,,39 x 30,Polyester 600Dx300D
3539,Bubble gun ,40 x 15,,14 x 13,PE / PS / PP
3541,Plastic water gun,25 x 15,,11 x 13,PE / PS
3546,"Plastic container with lid made of tin,  12 gr of sugar free mints. ",35 dia,,5 x 2,Plastic / Tin
3557,Polyester 600D document bag. ,170 x 60,,30 x 37,Polyester 600D
3560,Polyester laptop bag.,150 x 75,,27 x 37,Polyester 600D
3562,Polyester 600D travel bag. ,140 x 90,90 x 70,32 x 58,Polyester 600D / PVC backing
3572,Sports/Travel bag.,190 x 80,,57 x 30,Polyester 600D
3575,Trolley shopping bag.,140 x 70,,31 x 42,PP / Polyester 210D
3576,Backpack in a 600d polyester. ,120 x 90,,32 x 43,Polyester 600D
3582,Notebook and ballpen set. ,50 x 60,50 x 5,13 x 17,Aluminium / Cardboard / Paper / PVC
3586,House bookmark,40 x 25,,6 x 22,Paper
3588,Hand sanitizer gel ,12 dia,,3 x 6,PET
3589,"Hand spray, 20ml",45 x 30,,9 x 6,PET
3598,Pencil case. ,90 x 35,,21 x 10,Polyester 420D
3599,House shaped key holder,30 x 15,,7 x 5,Zinc / Metal
3601,House shaped key holder,15 x 6,23 x 23,7 x 3,Zinc / Metal / Iron
3604,Six can polyester cooler bag.,110 x 60,,21 x 13,Polyester 420D
3609,Cooler/lunch bag. ,90 x 40,,18 x 27,Polyester 420D
3610,Non-woven bag ,240 x 240 ,,38 x 40,Non woven 80gr
3614,26pc Tool set. ,90 x 50,,14 x 20,Aluminium / EVA / Iron
3615,Car shaped metal key holder,12 x 12,,4 x 6,Zinc / Metal
3620,Computer lamp.,45 x 10,,1 x 38,Aluminium / Iron / LED
3637,Polyester 600D cooler. ,100 x 50,80 x 40,20 x 27,PVC / Polyester 600D
3639,USB desk fan.,30 dia ,,15 x 15,PP
3648,Cheese board. ,100 x 15,,30 x 14,Rubberwood / Stainless steel
